License Year, Hunting District,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bulls,Cows,Calves,Bow,Rifle,Spike Bull Elk,Less than 6 Points,6 or More Points
2015,510W,R,22,109,5,12,0,12,0,0,12,0,0,0
2015,510W,SUM,25,112,5,15,0,15,0,0,15,0,0,0
2015,511,N,10,60,6,8,6,1,0,5,3,3,3,0
2015,511,R,179,1243,7,13,7,3,3,6,7,0,3,4
2015,511,SUM,189,1303,7,21,13,4,3,11,10,3,6,4
2015,520NW,N,117,730,6,49,36,10,3,3,46,9,15,12
2015,520NW,R,808,4582,6,151,52,96,3,9,142,10,23,19
2015,520NW,SUM,925,5312,6,200,88,106,6,12,188,19,38,31
2015,520SE,N,30,144,5,3,3,0,0,3,0,0,0,3
2015,520SE,R,220,1504,7,54,20,31,3,1,52,0,6,14
2015,520SE,SUM,250,1649,7,56,23,31,3,4,52,0,6,17
2015,530,N,39,394,10,6,3,3,0,0,6,3,0,0
2015,530,R,488,3019,6,72,32,41,0,15,57,15,5,11
2015,530,SUM,528,3413,7,78,34,44,0,15,63,18,5,11
2015,540,N,203,1393,7,50,30,18,3,6,44,12,9,9
2015,540,R,931,5708,6,228,79,129,19,9,219,32,35,12
2015,540,SUM,1134,7101,6,278,109,147,22,15,263,44,44,21
2015,560,N,281,1579,6,85,59,21,4,21,61,6,30,24
2015,560,R,909,5097,6,240,82,144,15,18,220,15,41,26
